surfaceDensity  E   sigE    s0  sigS0   ES0 sigES0  SPIRR   sigSPIRR
19.849	0.31828 .46022  .12345  .26539  .44731  .55484  .56087  .66522
39.692	0.21935 .34409  .12214  .25117  .35269  .43871  .64783  .74348
79.374	0.30968 .43441  .21549  .34023  .52903  .61935  .47391  .56087
158.73	0.39140 .52473  .22279  .36044  .61935  .72258  .38261  .48261
317.41	0.46882 .62366  .23010  .38494  .71398  .83441  .29130  .41304
634.73	0.52903 .76129  .10838  .34494  .65376  .86452  .35217  .56087
1269.3	0.70968 1.0022  .14579  .43826  .87312  1.1011  .11739  .39565

