cutout67.fits E 
cutout116.fits E 
cutout93.fits E 
cutout264.fits E 
cutout15.fits E 
cutout127.fits S0 
cutout38.fits E 
cutout218.fits E 
cutout199.fits Unclassifiable|Sa 
cutout265.fits S0 
cutout153.fits E 
cutout123.fits Unclassifiable EDGEON
cutout253.fits E 
cutout257.fits Sa 
cutout250.fits Irr 
cutout147.fits Sa 
cutout232.fits E 
cutout247.fits E 
cutout196.fits E 
cutout221.fits Sa 
cutout95.fits Sa 
cutout31.fits S0 
cutout263.fits Sa 
cutout80.fits E 
cutout26.fits Sa 
cutout220.fits Sa 
cutout41.fits E 
cutout133.fits Sa 
cutout34.fits E 
cutout260.fits E 
cutout262.fits E 
cutout231.fits E 
cutout105.fits E 
cutout100.fits E 
cutout60.fits E 
cutout233.fits E 
cutout53.fits E 
cutout128.fits Unclassifiable EDGEON
cutout51.fits E 
cutout121.fits Sa 
cutout215.fits E 
cutout73.fits Sa 
cutout13.fits S0 
cutout240.fits E 
cutout124.fits Sa 
cutout169.fits S0 
cutout139.fits E 
cutout52.fits E 
cutout229.fits Irr 
cutout226.fits E 
cutout187.fits E 
cutout8.fits S0 
cutout189.fits Sa 
cutout183.fits Sa 
cutout94.fits Irr 
cutout162.fits E 
cutout165.fits Sa 
cutout224.fits E 
cutout79.fits Irr 
cutout23.fits S0 
cutout155.fits S0 
cutout184.fits Sa 
cutout177.fits S0 
cutout98.fits E 
cutout11.fits Irr 
cutout25.fits E 
cutout227.fits E 
cutout261.fits E 
cutout175.fits Sa 
cutout167.fits Sa 
cutout256.fits E 
cutout270.fits Sa 
cutout254.fits E 
cutout192.fits Sa 
cutout21.fits Sa 
cutout72.fits S0 
cutout78.fits S0 
cutout249.fits Sa 
cutout45.fits Sa 
cutout49.fits E 
cutout149.fits E 
cutout271.fits Irr 
cutout120.fits E 
cutout32.fits E 
cutout39.fits S0 
cutout182.fits E 
cutout245.fits E 
cutout242.fits E 
cutout179.fits E 
cutout114.fits E 
cutout76.fits E 
cutout241.fits E 
cutout87.fits E 
cutout62.fits Sa 
cutout219.fits E 
cutout77.fits E 
cutout173.fits Sa 
cutout107.fits Sa 
cutout134.fits E 
cutout200.fits Sa 
cutout170.fits Sa 
cutout115.fits E 
cutout275.fits Sa 
cutout243.fits E 
cutout190.fits Irr 
cutout146.fits S0 
cutout111.fits E 
cutout74.fits Irr 
cutout208.fits Irr 
cutout213.fits Irr 
cutout143.fits E 
cutout9.fits S0 
cutout20.fits Sa 
cutout40.fits E 
cutout238.fits Sa 
cutout84.fits Irr 
cutout99.fits Sa 
cutout239.fits E 
cutout63.fits Sa 
cutout81.fits E 
cutout108.fits Sa 
cutout1.fits E 
cutout151.fits E 
cutout230.fits E 
cutout274.fits Sa 
cutout150.fits Sa 
cutout104.fits E 
cutout92.fits Sa 
