cutout142.fits Irr DISTURBED
cutout172.fits E 
cutout244.fits Unclassifiable DISTURBED
cutout205.fits E 
cutout97.fits E 
cutout140.fits Sc 
cutout191.fits E 
cutout182.fits E 
cutout163.fits S0 
cutout225.fits S0 
cutout271.fits Sa 
cutout57.fits Sb 
cutout74.fits Irr 
cutout116.fits E 
cutout45.fits Sd 
cutout235.fits Sd 
cutout218.fits S0 
cutout82.fits E 
cutout175.fits Sc 
cutout17.fits E 
cutout178.fits Sd 
cutout2.fits Sc 
cutout35.fits Sc 
cutout14.fits Sc 
cutout22.fits E 
cutout19.fits Sb 
cutout72.fits Sc 
cutout157.fits S0 
cutout38.fits Irr 
cutout83.fits S0 
cutout36.fits E 
cutout154.fits Sd 
cutout199.fits Irr 
cutout47.fits Sc 
cutout176.fits Sa 
cutout193.fits Irr 
cutout87.fits E 
cutout76.fits E 
cutout245.fits Sa 
cutout138.fits Sd 
cutout251.fits Unclassifiable DEFECT
cutout120.fits S0 
cutout125.fits Sb 
cutout180.fits Irr 
cutout55.fits Irr 
cutout12.fits Sa 
cutout67.fits Sa 
cutout243.fits S0 
cutout265.fits Sd 
cutout198.fits Sc 
cutout63.fits Sd 
cutout64.fits Sd 
cutout155.fits S0 
cutout25.fits E 
cutout51.fits E 
cutout49.fits Irr 
cutout61.fits Sa 
cutout185.fits Irr 
cutout68.fits Irr 
cutout4.fits Sa 
cutout115.fits E 
cutout143.fits Sb 
cutout195.fits E 
cutout60.fits Sa 
cutout202.fits E 
cutout156.fits S0 
cutout219.fits S0|E 
cutout184.fits Irr 
cutout152.fits E 
cutout9.fits Sa 
cutout223.fits Sc 
cutout162.fits E 
cutout217.fits S0 
cutout46.fits Sa 
cutout85.fits Sb 
cutout44.fits Irr 
cutout177.fits Sa 
cutout215.fits E 
cutout241.fits S0 
cutout254.fits S0 
cutout41.fits E 
cutout1.fits S0 
cutout20.fits Sd 
cutout105.fits E 
cutout228.fits E 
cutout159.fits E 
cutout33.fits S0 
cutout145.fits E 
cutout128.fits Unclassifiable 
cutout0.fits Sb 
cutout240.fits E 
cutout108.fits Sa 
cutout259.fits Unclassifiable 
cutout276.fits Sb 
cutout165.fits Sd 
cutout227.fits E 
cutout221.fits Sa 
cutout230.fits Sa 
cutout139.fits E 
cutout96.fits E 
cutout31.fits E 
cutout186.fits Irr 
cutout56.fits Sa 
cutout183.fits Sd 
cutout114.fits E 
cutout78.fits E 
cutout32.fits E 
cutout220.fits Sc 
cutout69.fits Sb 
cutout129.fits E 
cutout268.fits E 
cutout147.fits Sa 
cutout80.fits Sa 
cutout211.fits E 
cutout151.fits Sb 
cutout53.fits Sa 
cutout24.fits E 
cutout272.fits Sc 
cutout252.fits S0 
cutout146.fits Sa 
cutout226.fits Sa 
cutout81.fits E 
cutout98.fits E 
cutout246.fits S0 
cutout197.fits Irr 
cutout173.fits Sd 
cutout109.fits Unclassifiable 
cutout27.fits E 
cutout171.fits E 
cutout236.fits Sc 
cutout123.fits Unclassifiable 
cutout188.fits Irr 
cutout132.fits S0 
cutout204.fits Sb 
cutout237.fits Irr 
cutout168.fits Irr 
cutout187.fits S0 
cutout43.fits Sb 
cutout269.fits S0 
cutout117.fits Sc 
cutout231.fits Sb 
cutout270.fits Sb 
cutout89.fits Sb 
cutout208.fits Sb 
cutout122.fits Sb EDGEON
cutout11.fits Sb 
cutout121.fits Sb 
cutout233.fits E 
cutout209.fits Sb 
cutout106.fits E 
cutout253.fits E 
cutout59.fits S0 
cutout86.fits E 
cutout135.fits Sb 
cutout110.fits Sb 
cutout111.fits Sb 
cutout256.fits S0 
cutout174.fits Sb 
cutout8.fits Irr 
cutout207.fits Sb 
cutout15.fits S0 
cutout133.fits Sb 
cutout66.fits Sb 
cutout150.fits Sb 
cutout118.fits E 
cutout255.fits S0 
cutout249.fits Sb 
cutout5.fits E 
cutout258.fits Sb 
cutout206.fits S0 
cutout232.fits S0 
cutout100.fits Sa 
cutout50.fits Sb 
cutout262.fits E 
cutout210.fits E 
cutout130.fits Sb 
cutout37.fits E 
cutout119.fits E 
cutout124.fits E 
cutout166.fits Sb 
cutout102.fits S0 
cutout196.fits S0 
cutout267.fits S0 
cutout29.fits Irr 
cutout52.fits S0 
cutout160.fits E 
cutout48.fits Irr 
cutout260.fits Irr 
cutout88.fits S0 
cutout127.fits Sb 
cutout79.fits Irr 
cutout23.fits E 
cutout77.fits E 
cutout30.fits S0 
cutout229.fits Irr 
cutout112.fits Sb 
cutout58.fits E 
cutout248.fits S0 
cutout104.fits S0 
cutout101.fits E 
cutout234.fits S0 
cutout136.fits E 
cutout94.fits Irr 
cutout126.fits Irr 
cutout201.fits Irr 
cutout6.fits Irr 
cutout181.fits Irr 
cutout216.fits Sb 
cutout148.fits Sb 
cutout90.fits Irr 
cutout70.fits Sd 
cutout161.fits E 
cutout164.fits Sb 
cutout21.fits Sb 
cutout169.fits Sb 
cutout137.fits E 
cutout107.fits Sb 
cutout91.fits Unclassifiable DEFECT
cutout99.fits Sb 
cutout62.fits Sb 
cutout40.fits E 
cutout3.fits Irr 
cutout203.fits S0 
cutout273.fits Irr 
cutout92.fits Sb 
cutout54.fits Irr 
cutout18.fits Irr 
cutout95.fits S0 
cutout192.fits S0 
cutout73.fits Sb 
cutout167.fits Sb 
cutout113.fits Sb 
cutout42.fits E 
cutout274.fits Sb 
cutout250.fits Irr 
cutout257.fits Sb 
cutout239.fits E 
cutout242.fits E 
cutout141.fits S0 
cutout214.fits Irr 
cutout28.fits S0 
cutout34.fits Irr 
cutout200.fits Sb 
cutout10.fits E 
cutout266.fits E 
cutout7.fits Irr 
cutout224.fits E 
cutout134.fits E 
cutout84.fits Irr 
cutout103.fits Sb 
cutout93.fits S0 
cutout213.fits Irr 
cutout190.fits Irr 
cutout275.fits Sb 
cutout39.fits S0 
cutout13.fits S0 
cutout65.fits S0 
cutout153.fits E 
cutout194.fits Irr 
cutout238.fits Sb 
cutout264.fits E 
cutout16.fits E 
cutout75.fits Sa 
cutout170.fits Sb 
cutout158.fits E 
cutout26.fits Sb 
cutout71.fits Sa 
cutout149.fits S0 
cutout261.fits Sa 
cutout222.fits Irr 
cutout247.fits S0 
cutout131.fits Irr 
cutout179.fits E 
