cutout87.fits E 
cutout133.fits Sd 
cutout205.fits Irr 
cutout114.fits E 
cutout212.fits S0 
cutout225.fits S0 
cutout184.fits Irr 
cutout215.fits E 
cutout75.fits Sc 
cutout70.fits Sc 
cutout1.fits Sb 
cutout125.fits Sb 
cutout54.fits Irr 
cutout69.fits Sc 
cutout18.fits Sa 
cutout213.fits Irr 
cutout52.fits S0 
cutout31.fits S0 
cutout6.fits Unclassifiable 
cutout81.fits Unclassifiable 
cutout82.fits E 
cutout58.fits Compact,-not-star 
cutout62.fits Sd 
cutout174.fits S0 
cutout112.fits Sc 
cutout175.fits Sc 
cutout103.fits Sb 
cutout86.fits S0 
cutout19.fits Irr 
cutout158.fits Compact,-not-star 
cutout63.fits Sd 
cutout15.fits S0 
cutout76.fits Compact,-not-star 
cutout91.fits Unclassifiable 
cutout166.fits S0 
cutout150.fits Sc 
cutout124.fits Sa 
cutout226.fits Sa 
cutout61.fits Sm 
cutout192.fits Sa 
cutout90.fits Sa 
cutout216.fits Unclassifiable 
cutout127.fits S0 
cutout30.fits S0 
cutout190.fits Sm 
cutout197.fits Irr 
cutout85.fits Irr 
cutout80.fits Irr 
cutout101.fits Sm 
cutout238.fits Sa 
cutout144.fits Sd 
cutout241.fits S0 
cutout53.fits Sm 
cutout118.fits S0 
cutout232.fits E 
cutout137.fits S0 
cutout117.fits Irr 
cutout24.fits E 
cutout229.fits Unclassifiable 
cutout274.fits Sd 
cutout187.fits E 
cutout140.fits Sa 
cutout267.fits E 
cutout130.fits Sb 
cutout119.fits Irr 
cutout29.fits Irr 
cutout264.fits S0 
cutout156.fits Unclassifiable 
cutout72.fits Sb 
cutout163.fits S0 
cutout170.fits S0 
cutout93.fits Sc 
cutout79.fits Irr 
cutout13.fits S0 
cutout37.fits E 
cutout210.fits Irr 
cutout26.fits Sa 
cutout251.fits Unclassifiable 
cutout233.fits E 
cutout32.fits Compact,-not-star 
cutout167.fits Sm 
cutout146.fits S0 
cutout77.fits E 
cutout39.fits S0 
