cutout168.fits Sc 
cutout225.fits Sa 
cutout177.fits Sc 
cutout159.fits Compact,-not-star SMALL
cutout97.fits E 
cutout128.fits Unclassifiable DEFECT
cutout192.fits Sa 
cutout265.fits Sc 
cutout43.fits Sd 
cutout22.fits Sc LSB
cutout266.fits Sa 
cutout273.fits Sm 
cutout208.fits Sa 
cutout101.fits Compact,-not-star 
cutout262.fits E 
cutout181.fits Irr 
cutout196.fits E 
cutout215.fits E 
cutout35.fits Sb 
cutout234.fits E 
cutout145.fits E 
cutout71.fits Sa 
cutout197.fits Sd 
cutout14.fits Sd LSB
cutout276.fits Sc 
cutout26.fits Sc 
cutout33.fits E 
cutout161.fits E 
cutout16.fits Compact,-not-star 
cutout240.fits E 
cutout156.fits E 
cutout91.fits Unclassifiable DEFECT
cutout129.fits S0|Sa 
cutout84.fits Sm 
cutout264.fits E 
cutout78.fits Sc 
cutout274.fits Sc 
cutout158.fits Compact,-not-star 
cutout200.fits Sc 
cutout226.fits Sa 
cutout53.fits Sd 
cutout231.fits Sc EDGEON
cutout66.fits Sc 
cutout270.fits Sb 
cutout140.fits Sa 
cutout73.fits Sb 
cutout123.fits Unclassifiable DEFECT
cutout219.fits E 
cutout3.fits Irr 
cutout86.fits E 
cutout108.fits Sb 
cutout212.fits E 
cutout130.fits Sa 
cutout5.fits Compact,-not-star 
cutout74.fits Sb 
cutout268.fits Sb 
cutout20.fits Sb 
